"id","adu_numero","adu_seccion","adu_denomina"
"502","1","1","Aeropuerto Internal. De Apodaca"
"503","0","0","Cancun, Q. Roo."
"504","2","2","Aeropuerto Internal. De Cozumel"
"505","3","3","Puerto Morelos, Q. Roo."
"506","0","0","Quer?taro, Qro."
"507","2","2","Aeropuerto Internal. De Morelia"
"508","3","3","Celaya, Gto. (Exportaci?n)"
"509","4","4","Aeropuerto Internal. Del Baj"
"510","5","5","Le?n, Gto. (Exportaci?n)"
"511","0","0","Toluca, Mex."
"512","0","0","Chihuahua, Chih."
"513","1","1","Parque Ind. Las Am?ricas, Chi"
"514","2","2","Aeropuerto Internal. Chihuahua"
"515","0","0","Aguascalientes, Ags."
"516","1","1","San Luis Potos?, S.L.P.(Exportaci?n)"
"517","2","2","Aeropuerto Internal. De Calera"
"518","0","0","Puebla, Pue."
"519","1","1","Cuernavaca, Mor."
"520","2","2","Tlaxcala, Tlax."
"521","0","0","Colombia, N.L."
"522","0","0","Altamira, Tamps."
"523","0","0","Cd. Camargo, Tamps."
"524","0","0","Dos Bocas, Tab. y Aeropuerto Internal. de Palenque, Chi."
"525","1","1","Aeropuerto Internal. ""C.P. A. Carlos Robirosa"", Villahermosa"
"526","2","2","Frontera, Tabasco."
"527","01","5","Silicon Valley"
