Aduana,Patente,Pedimento,Fecha de pago
640,3126,7001364,03/04/2017
240,3126,7000437,04/04/2017
240,3126,7000438,06/04/2017
240,3126,7000467,12/04/2017
240,3126,7000492,12/04/2017
470,3458,7000189,18/04/2017
240,1618,7002706,20/04/2017
240,1618,7002707,20/04/2017
240,1618,7002708,20/04/2017
240,1618,7002739,20/04/2017
240,1618,7002720,21/04/2017
240,1618,7002741,02/05/2017
240,1618,7002742,02/05/2017
240,1618,7002743,02/05/2017
240,1618,7002744,02/05/2017
240,1618,7004956,02/05/2017
240,1618,7003920,03/05/2017
470,3458,7000196,03/05/2017
470,3458,7000197,03/05/2017
240,1618,7003930,05/05/2017
240,1618,7003931,05/05/2017
240,1618,7003932,05/05/2017
640,3458,7000025,08/05/2017
640,3458,7000026,08/05/2017
240,1618,7003999,16/05/2017
470,3458,7000214,19/05/2017
470,3458,7000219,23/05/2017
240,1618,7004305,24/05/2017
240,1618,7004309,24/05/2017
240,1618,7004325,24/05/2017
640,3458,7000066,25/05/2017
640,3458,7000071,29/05/2017
240,1618,7004336,01/06/2017
640,3458,7000070,02/06/2017
640,3458,7000086,05/06/2017
640,3458,7000088,06/06/2017
240,1618,7004400,09/06/2017
240,1618,7004947,09/06/2017
240,1618,7004948,09/06/2017
470,3458,7000261,12/06/2017
240,1618,7004953,16/06/2017
240,1618,7004957,16/06/2017
240,1618,7004958,16/06/2017
240,1618,7004959,16/06/2017
240,1618,7004969,23/06/2017
640,3458,7000116,23/06/2017
640,3458,7000121,28/06/2017
470,3458,7000332,29/06/2017
240,1618,7004972,30/06/2017
240,1618,7004977,30/06/2017
240,1618,7004979,30/06/2017
240,1618,7004985,30/06/2017
240,1618,7004997,30/06/2017
240,1618,7004987,03/07/2017
470,3458,7000331,03/07/2017
470,3458,7000535,03/07/2017
640,3458,7000125,03/07/2017
240,1618,7004996,06/07/2017
240,1618,7005998,06/07/2017
240,1618,7005905,07/07/2017
240,1618,7005906,07/07/2017
240,1618,7005907,07/07/2017
640,3458,7000138,10/07/2017
640,3458,7000139,10/07/2017
640,3458,7000146,13/07/2017
640,3458,7000149,14/07/2017
470,3458,7000441,17/07/2017
240,1618,7004978,18/07/2017
240,1618,7005917,18/07/2017
240,1618,7005923,18/07/2017
240,1618,7005924,18/07/2017
240,1618,7005925,18/07/2017
240,1618,7005934,18/07/2017
470,3458,7000451,21/07/2017
470,3458,7000456,21/07/2017
640,3458,7000163,24/07/2017
240,1618,7005988,26/07/2017
240,1618,7006036,31/07/2017
640,3458,7000203,02/08/2017
